product_id,name,category,price,description,rating,combined_text
2775,Màn hình oppo f9 zin,Khác,0,,0,Màn hình oppo f9 zin Khác 
2776,loa trong nghe gọi nokia 8800 - 8800A arte,Khác,0,,0,loa trong nghe gọi nokia 8800 - 8800A arte Khác 
2777,Điện thoại Nokia 2720 Nắp gập mới 99%,Khác,0,,0,Điện thoại Nokia 2720 Nắp gập mới 99% Khác 
2778,Điện Thoại Nokia 106 Bản 2015 1 Sim Zin Chính Hãng Đủ Pin Sạc,Khác,0,,0,Điện Thoại Nokia 106 Bản 2015 1 Sim Zin Chính Hãng Đủ Pin Sạc Khác 
2779,"điện thoại nokia 215 , 150 2 sim chính hãng",Khác,0,,0,"điện thoại nokia 215 , 150 2 sim chính hãng Khác "
2780,"☎️ Máy điện thoại bàn ☎️ Huawei ETS312i và GSM F316 không dây cho người già, công ty lắp sim đa mạng",Khác,0,,0,"☎️ Máy điện thoại bàn ☎️ Huawei ETS312i và GSM F316 không dây cho người già, công ty lắp sim đa mạng Khác "
2781,Điện thoại Xiaomi K20 Pro Fullbox Tiếng Việt - BH12 Tháng,Khác,0,,0,Điện thoại Xiaomi K20 Pro Fullbox Tiếng Việt - BH12 Tháng Khác 
2782,Điện thoại nokia 1280 kèm pin + sạc (máy cũ thay vỏ mới),Khác,0,,0,Điện thoại nokia 1280 kèm pin + sạc (máy cũ thay vỏ mới) Khác 
2783,Điện Thoại Nokia 2300 Chính Hãng Bảo Hành 12 Tháng Rung Mạnh Loa To Rõ Pin dùng 2 3 ngày,Khác,0,,0,Điện Thoại Nokia 2300 Chính Hãng Bảo Hành 12 Tháng Rung Mạnh Loa To Rõ Pin dùng 2 3 ngày Khác 
2784,Điện Thoại Vivo Y21 4GB/64GB - Hàng Chính Hãng,Khác,0,,0,Điện Thoại Vivo Y21 4GB/64GB - Hàng Chính Hãng Khác 
2785,"Điện thoại SONY XPERIA XZ1 ram 4G bộ nhớ 64G mới, chơi game mượt",Khác,0,,0,"Điện thoại SONY XPERIA XZ1 ram 4G bộ nhớ 64G mới, chơi game mượt Khác "
2786,Điện thoại Sharp AQUOS R2 Shv42 64Gb màn 120Hz cực mượt,Khác,0,,0,Điện thoại Sharp AQUOS R2 Shv42 64Gb màn 120Hz cực mượt Khác 
2787,"[99%,Freeship+ốp] Điện thoại Sharp Aquos R2(,RAM 4GB,bộ nhớ trong 64GB,chip Qualcomm Snapdragon 845",Khác,0,,0,"[99%,Freeship+ốp] Điện thoại Sharp Aquos R2(,RAM 4GB,bộ nhớ trong 64GB,chip Qualcomm Snapdragon 845 Khác "
2788,Điện thoai Oppo F3 lite ( A57) cũ,Khác,0,,0,Điện thoai Oppo F3 lite ( A57) cũ Khác 
2789,Điện thoại mini 3310 hay l8star bm10 siêu nhỏ mini - 2 sim 2 sóng giá rẻ,Khác,0,,0,Điện thoại mini 3310 hay l8star bm10 siêu nhỏ mini - 2 sim 2 sóng giá rẻ Khác 
2790,Chân xạc điện thoại oppo F1w/ A35,Khác,0,,0,Chân xạc điện thoại oppo F1w/ A35 Khác 
2791,Điện thoại sony XZ Premium Quốc tế 2sim đẹp như mới,Khác,0,,0,Điện thoại sony XZ Premium Quốc tế 2sim đẹp như mới Khác 
2792,"(Giá Sốc) Điện thoại Motorola Moto Z Force Ram 4G/32G, Màn 5,5 Inh/2K, Camera 21MP, Tặng Cáp, sạc, ốp, dán màn",Khác,0,,0,"(Giá Sốc) Điện thoại Motorola Moto Z Force Ram 4G/32G, Màn 5,5 Inh/2K, Camera 21MP, Tặng Cáp, sạc, ốp, dán màn Khác "
2793,Điện Thoại Nokia 215 4G (2020) - Hàng Chính Hãng,Khác,0,,0,Điện Thoại Nokia 215 4G (2020) - Hàng Chính Hãng Khác 
2794,vân tay/home oppo F3 và F3 plus (nút home) zin,Khác,0,,0,vân tay/home oppo F3 và F3 plus (nút home) zin Khác 
2795,"Điện Thoại Blackberry Dtek50 -Chip Lõi Tám, Ram 3GB, Mượt mà",Khác,0,,0,"Điện Thoại Blackberry Dtek50 -Chip Lõi Tám, Ram 3GB, Mượt mà Khác "
2796,ĐIỆN THOẠI N230 Hàng chính hãng,Khác,0,,0,ĐIỆN THOẠI N230 Hàng chính hãng Khác 
2797,"Điện thoại độc Nokia 6700s nắp trượt chính hãng, bảo hành 12 tháng",Khác,0,,0,"Điện thoại độc Nokia 6700s nắp trượt chính hãng, bảo hành 12 tháng Khác "
2798,"điện thoại LG G3 ram 3G/32G Chính hãng mới zin, Cày Free/PUBG/Liên Quân chất",Khác,0,,0,"điện thoại LG G3 ram 3G/32G Chính hãng mới zin, Cày Free/PUBG/Liên Quân chất Khác "
2799,Điện thoại nokia e63 pin khủng zin tặng kèm sim 3g,Khác,0,,0,Điện thoại nokia e63 pin khủng zin tặng kèm sim 3g Khác 
2800,Điện thoại Lumia 520 hàng công ty,Khác,0,,0,Điện thoại Lumia 520 hàng công ty Khác 
2801,"Điện thoại mini L8STAR 3310 2 sim 2 sóng đảm bảo đúng hình 100%, BH 6 tháng,1 đổi 1 trong vòng 7 ngày",Khác,0,,0,"Điện thoại mini L8STAR 3310 2 sim 2 sóng đảm bảo đúng hình 100%, BH 6 tháng,1 đổi 1 trong vòng 7 ngày Khác "
2802,Điện thoại Samsung Galaxy Note 20 Ultra 5G Chính hãng.,Khác,0,,0,Điện thoại Samsung Galaxy Note 20 Ultra 5G Chính hãng. Khác 
2803,Điện thoại Lg g8x ram 6 bộ nhớ 128g siêu phẩm chíp snapdaragon 855,Khác,0,,0,Điện thoại Lg g8x ram 6 bộ nhớ 128g siêu phẩm chíp snapdaragon 855 Khác 
2804,"điện thoại LG V40 ThinQ ram 6G/128G mới Chính hãng, CPU Snap 845 8 nhân, Camera siêu nét",Khác,0,,0,"điện thoại LG V40 ThinQ ram 6G/128G mới Chính hãng, CPU Snap 845 8 nhân, Camera siêu nét Khác "
2805,"điện thoại Oppo Neo 7 A33 ram 2G/16G hỗ trợ 4G LTE, chơi Game mượt",Khác,0,,0,"điện thoại Oppo Neo 7 A33 ram 2G/16G hỗ trợ 4G LTE, chơi Game mượt Khác "
2806,Điện thoại OPPO A37 - Neo 9 Bộ Nhớ 16GB RAM 2GB Đẹp Keng Full Chức Năng,Khác,0,,0,Điện thoại OPPO A37 - Neo 9 Bộ Nhớ 16GB RAM 2GB Đẹp Keng Full Chức Năng Khác 
2807,"Điện thoại Xiaomi Redmi Note 10S (8GB/128) - Hàng Chính Hãng, mới 100%, Bảo hành 18 tháng",Khác,0,,0,"Điện thoại Xiaomi Redmi Note 10S (8GB/128) - Hàng Chính Hãng, mới 100%, Bảo hành 18 tháng Khác "
2808,[ RẺ NHẤT ] MÁY POS CẦM TAY SUNMI V1S -V2- Tặng 10 Cuộn Giấy-  Bản Quốc Tế CH Play Tải App Grab- Now- Beamin-KiotViet...,Khác,0,,0,[ RẺ NHẤT ] MÁY POS CẦM TAY SUNMI V1S -V2- Tặng 10 Cuộn Giấy-  Bản Quốc Tế CH Play Tải App Grab- Now- Beamin-KiotViet... Khác 
2809,Điện thoại Samsung Galaxy A52 Chính hãng,Khác,0,,0,Điện thoại Samsung Galaxy A52 Chính hãng Khác 
2810,[Mã SKAM70K giảm 7% đơn 500k] Điện thoại Google pixle 4xl 64g mất face id zin quốc tế,Khác,0,,0,[Mã SKAM70K giảm 7% đơn 500k] Điện thoại Google pixle 4xl 64g mất face id zin quốc tế Khác 
2811,"STT 05 - điện thoại Oppo F1s 2SIM ram 4G/64G Chính Hãng mới, Cày Zalo Tiktok Fb Youtube chât",Khác,0,,0,"STT 05 - điện thoại Oppo F1s 2SIM ram 4G/64G Chính Hãng mới, Cày Zalo Tiktok Fb Youtube chât Khác "
2812,Bàn phím nokia 105 2015 / 105 2 sim.,Khác,0,,0,Bàn phím nokia 105 2015 / 105 2 sim. Khác 
2813,"STT 03 - điện thoại Oppo F9 Pro 2sim ram 6G/128G mới CHÍNH HÃNG, Chơi Game siêu mượt, Zalo FB Yiktok Youtube",Khác,0,,0,"STT 03 - điện thoại Oppo F9 Pro 2sim ram 6G/128G mới CHÍNH HÃNG, Chơi Game siêu mượt, Zalo FB Yiktok Youtube Khác "
2814,Lumia 730 đẹp,Khác,0,,0,Lumia 730 đẹp Khác 
2815,Điện thoại bàn nhỏ gọn KXT-438,Khác,0,,0,Điện thoại bàn nhỏ gọn KXT-438 Khác 
2816,[Tặng Sim ]Điện thoại Nokia 6100 Hàng Chính Hãng Bảo Hành 12 Tháng,Khác,0,,0,[Tặng Sim ]Điện thoại Nokia 6100 Hàng Chính Hãng Bảo Hành 12 Tháng Khác 
2817,Combo Điện Thoại SS Galaxy Note 20 (8GB/256GB) - Hàng Chính Hãng + Tặng kèm tai nghe bluetooth Amoi F9 Pro,Khác,0,,0,Combo Điện Thoại SS Galaxy Note 20 (8GB/256GB) - Hàng Chính Hãng + Tặng kèm tai nghe bluetooth Amoi F9 Pro Khác 
2818,Viền sườn đt Samsung A750,Khác,0,,0,Viền sườn đt Samsung A750 Khác 
2819,Điện thoại SONY XPERIA XA1 PLUS RAM 4GB CHƠI PUPG.,Khác,0,,0,Điện thoại SONY XPERIA XA1 PLUS RAM 4GB CHƠI PUPG. Khác 
