antecedents_str,consequents_str,support,confidence,lift
"hàng, quá",hóa,0.015546558704453442,0.9504950495049506,6.019801980198021
"chậm, giao",hàng,0.013765182186234818,0.9550561797752809,5.999462777326918
"hóa, kém",hàng,0.01651821862348178,0.9532710280373832,5.988248828210419
"hóa, mua",hàng,0.014574898785425101,0.9473684210526315,5.9511698880976605
"hàng, tiền",hóa,0.012145748987854251,0.9375,5.9375
hàng,hóa,0.1491497975708502,0.9369277721261445,5.933875890132249
hóa,hàng,0.1491497975708502,0.9446153846153846,5.933875890132248
"hàng, áo",hóa,0.011659919028340082,0.9350649350649352,5.922077922077923
"hóa, nhận",hàng,0.015546558704453442,0.9411764705882354,5.9122733528813365
"cửa_hàng, hàng",hóa,0.03708502024291498,0.9308943089430894,5.8956639566395665
đóng_gói,sản_phẩm,0.022834008097165993,0.7305699481865285,5.866410182121994
"cửa_hàng, hóa",hàng,0.03708502024291498,0.9308943089430894,5.847682968182683
"cửa_hàng, sản_phẩm",chất_lượng,0.012145748987854251,0.5102040816326531,5.845102419446444
"hàng, mua",hóa,0.014574898785425101,0.9183673469387754,5.816326530612245
thời_gian,hóa,0.017813765182186234,0.9166666666666665,5.805555555555555
tệ,quá,0.010040485829959514,0.5794392523364487,5.780351184454879
thời_gian,hàng,0.017813765182186234,0.9166666666666665,5.758307900983383
"giao, hàng",hóa,0.06574898785425101,0.9062500000000001,5.739583333333334
"cửa_hàng, giao, hàng",hóa,0.01862348178137652,0.9055118110236221,5.73490813648294
chất_lượng,sản_phẩm,0.06202429149797571,0.7105751391465678,5.705853685604754
chậm,"hàng, hóa",0.013927125506072875,0.8349514563106797,5.59807301055206
kém,sản_phẩm,0.050850202429149796,0.6709401709401709,5.387588498771853
chậm,hóa,0.013927125506072875,0.8349514563106797,5.2880258899676384
chậm,hàng,0.013927125506072875,0.8349514563106797,5.24499007397604
"chất_lượng, hóa",sản_phẩm,0.011497975708502025,0.6513761467889909,5.230491165698334
"chất_lượng, hàng, hóa",sản_phẩm,0.01117408906882591,0.6509433962264151,5.2270162180729685
"chất_lượng, hàng",sản_phẩm,0.01117408906882591,0.6330275229357798,5.083153386382887
